"Roadname and Road ID","Unique Asset ID","Park Ref","Easting (Location/Map Coordinates)","Northing (Location/Map Coordinates)","Geometry"
"PARK 15 - ITYAMAI-ITPINA (5154)","PS38","Park 15 - Victoria Park - Pakapakanthi","282091.363","6132454.077","POINT (15430479.9529301 -4153965.17568619)"
"PARK 15 - ITYAMAI-ITPINA (5154)","PS39","Park 15 - Victoria Park - Pakapakanthi","282082.629","6132460.513","POINT (15430469.5038256 -4153957.04772135)"
"PARK 16 - VICTORIA PARK (5161)","PS40","Park 16 - Victoria Park - Pakapakanthi","282384.272","6131939.602","POINT (15430821.7254641 -4154603.08998891)"
"PARK 16 - VICTORIA PARK (5161)","PS41","Park 16 - Victoria Park - Pakapakanthi","282390.875","6131943.022","POINT (15430829.8661464 -4154599.09853016)"
"PARK 16 - VICTORIA PARK (5161)","PS42","Park 16 - Victoria Park - Pakapakanthi","282277.736","6132244.031","POINT (15430700.8174886 -4154227.56280048)"
"PARK 18 - WITA WIRRA (5185)","PS43","Park 18 - Wita Wirra","281734.849","6131492.824","POINT (15430017.8262472 -4155130.71570573)"
"PARK 18 - WITA WIRRA (5185)","PS44","Park 18 - Wita Wirra","281672.853","6131494.408","POINT (15429942.3674859 -4155126.96487355)"
"PARK 19 - PITYARRILLA (5193)","PS45","Park 19 - Pityarrilla","281665.411","6131254.3729","POINT (15429926.3146186 -4155420.41353092)"
"PARK 19 - PITYARRILLA (5193)","PS46","Park 19 - Pityarrilla","281641.165","6131258.917","POINT (15429896.9170166 -4155414.14480803)"
"PARK 19 - PITYARRILLA (5193)","PS47","Park 19 - Pityarrilla","281684.324","6131241.7","POINT (15429948.9803446 -4155436.47136378)"
"PARK 19 - PITYARRILLA (5193)","PS48","Park 19 - Pityarrilla","281711.9898","6131251.7481","POINT (15429982.9679541 -4155424.98717284)"
"PARK 19 - PITYARRILLA (5193)","PS49","Park 19 - Pityarrilla","281722.4222","6131254.4683","POINT (15429995.7530917 -4155421.96423848)"
"PARK 19 - PITYARRILLA (5193)","PS50","Park 19 - Pityarrilla","281712.2704","6131264.0229","POINT (15429983.6670614 -4155409.97781474)"
"PARK 19 - PITYARRILLA (5193)","PS51","","281752.6859","6131255.0601","POINT (15430032.6294262 -4155422.12515763)"
"PARK 19 - PITYARRILLA (5193)","PS52","Park 19 - Pityarrilla","281682.557","6131213.885","POINT (15429946.0183605 -4155470.44995257)"
"PARK 02 - PARDIPARDINYILLA (5022)","PS53","Park 2 -Pardipardinyilla","279730.757","6135371.398","POINT (15427690.8980763 -4150327.8368652)"
"PARK 02 - PARDIPARDINYILLA (5022)","PS54","Park 2 -Pardipardinyilla","279744.411","6135383.555","POINT (15427707.8763445 -4150313.37253223)"
"PARK 02 - PARDIPARDINYILLA (5022)","PS55","Park 2 -Pardipardinyilla","279759.694","6135435.022","POINT (15427727.9901483 -4150250.88508079)"
"PARK 02 - PARDIPARDINYILLA (5022)","PS56","Park 2 -Pardipardinyilla","279761.728","6135432.678","POINT (15427730.3975179 -4150253.81138953)"
"PARK 02 - PARDIPARDINYILLA (5022)","PS57","Park 2 -Pardipardinyilla","279806.243","6135422.87","POINT (15427784.3004059 -4150267.11617624)"
"PARK 02 - PARDIPARDINYILLA (5022)","PS58","Park 2 -Pardipardinyilla","279827.271","6135430.752","POINT (15427810.1299155 -4150258.09664705)"
"PARK 02 - PARDIPARDINYILLA (5022)","PS59","Park 2 -Pardipardinyilla","279821.752","6135418.334","POINT (15427803.0473786 -4150273.11976948)"
